Enable,Enable
Route,Route
"Pagination List Store","Pagination List Store"
"Enable/Disable Show Pagination. ","Enable/Disable Show Pagination. "
"Store Limit","Store Limit"
"Limit number of stores will be show in list store when pagging on frontend.","Limit number of stores will be show in list store when pagging on frontend."
"Store Per Page","Store Per Page"
"Enable Category Filter","Enable Category Filter"
"Enable/Disable Show Category Filter Search. ","Enable/Disable Show Category Filter Search. "
"Enable Tag Filter","Enable Tag Filter"
"Enable/Disable Show Tag Filter Search. ","Enable/Disable Show Tag Filter Search. "
"Enable Name Filter","Enable Name Filter"
"Enable/Disable Show Name Filter Search. ","Enable/Disable Show Name Filter Search. "
"Enable City Filter","Enable City Filter"
"Enable/Disable Show City Filter Search. ","Enable/Disable Show City Filter Search. "
"Enable Zipcode Filter","Enable Zipcode Filter"
"Enable/Disable Show Zipcode Filter Search. ","Enable/Disable Show Zipcode Filter Search. "
"Enable Country Filter","Enable Country Filter"
"Enable/Disable Show Country Filter Search. ","Enable/Disable Show Country Filter Search. "
"Enable State Filter","Enable State Filter"
"Enable/Disable Show State Filter Search. ","Enable/Disable Show State Filter Search. "
"Enable Rewrite Url","Enable Rewrite Url"
"Enable/Disable Rewrite Url for store locator item.","Enable/Disable Rewrite Url for store locator item."
"Page title","Page title"
"Meta KeyWords","Meta KeyWords"
"Google API","Google API"
Key,Key
"Please register a google API key at <a href=""https://developers.google.com/maps/web/"" target=""_blank"">here</a>","Please register a google API key at <a href=""https://developers.google.com/maps/web/"" target=""_blank"">here</a>"
"Locator Units","Locator Units"
"Default Location Settings","Default Location Settings"
Map,Map
Longitude,Longitude
Latitude,Latitude
Zoom,Zoom
"Scheduled Import Location Settings","Scheduled Import Location Settings"
"Enable Cron Job","Enable Cron Job"
"Import Folder Path","Import Folder Path"
"Input the folder path where you want to store the import CSV files. Default: <strong>pub/storelocator/</strong>","Input the folder path where you want to store the import CSV files. Default: <strong>pub/storelocator/</strong>"
Delete,Delete
"Delete items","Delete items"
"Are you sure you wan't to delete selected items?","Are you sure you wan't to delete selected items?"
Disable,Disable
name,name
StoreName,StoreName
color,color
fontClass,fontClass
pagetitle,pagetitle
keywords,keywords
"meta description","meta description"
tag,tag
category,category
Image,Image
No results,No results
"No locations were found with the given criteria. Please modify your selections or input.","No locations were found with the given criteria. Please modify your selections or input."
